datasetTitle,source
(%) Benefits held by 2nd 20% population - Private Transfers,1
(%) Benefits held by 2nd 20% population - Public Works,1
(%) Benefits held by 2nd 20% population - School-feeding,1
(%) Benefits held by 2nd 20% population - Social Pension,1
(%) Benefits held by 2nd 20% population - Social Security,1
(%) Benefits held by 2nd 20% population - Unemp benefits and ALMP,1
(%) Benefits held by 3rd 20% population - All Social Insurance,1
(%) Benefits held by 3rd 20% population - All Social Protection,1
(%) Benefits held by 3rd 20% population - All Social Safety Nets,1
(%) Benefits held by 3rd 20% population - Cash Transfer,1
(%) Benefits held by 3rd 20% population - Conditional Cash Transfer,1
(%) Benefits held by 3rd 20% population - Family/Child allowances,1
(%) Benefits held by 3rd 20% population - In-Kind,1
(%) Benefits held by 3rd 20% population - Old Age Contributory,1
(%) Benefits held by 3rd 20% population - other SSN,1
(%) Benefits held by 3rd 20% population - Private Transfers,1
(%) Benefits held by 3rd 20% population - Public Works,1
(%) Benefits held by 3rd 20% population - School-feeding,1
(%) Benefits held by 3rd 20% population - Social Pension,1
(%) Benefits held by 3rd 20% population - Social Security,1
(%) Benefits held by 3rd 20% population - Unemp benefits and ALMP,1
(%) Benefits held by 4th 20% population - All Social Insurance,1
(%) Benefits held by 4th 20% population - All Social Protection,1
(%) Benefits held by 4th 20% population - All Social Safety Nets,1
(%) Benefits held by 4th 20% population - Cash Transfer,1
(%) Benefits held by 4th 20% population - Conditional Cash Transfer,1
(%) Benefits held by 4th 20% population - Family/Child allowances,1
(%) Benefits held by 4th 20% population - In-Kind,1
(%) Benefits held by 4th 20% population - Old Age Contributory,1
(%) Benefits held by 4th 20% population - other SSN,1
(%) Benefits held by 4th 20% population - Private Transfers,1
(%) Benefits held by 4th 20% population - Public Works,1
(%) Benefits held by 4th 20% population - School-feeding,1
(%) Benefits held by 4th 20% population - Social Pension,1
(%) Benefits held by 4th 20% population - Social Security,1
(%) Benefits held by 4th 20% population - Unemp benefits and ALMP,1
(%) Benefits held by 5th 20% population - All Social Insurance,1
(%) Benefits held by 5th 20% population - All Social Protection,1
(%) Benefits held by 5th 20% population - All Social Safety Nets,1
(%) Benefits held by 5th 20% population - Cash Transfer,1
(%) Benefits held by 5th 20% population - Conditional Cash Transfer,1
(%) Benefits held by 5th 20% population - Family/Child allowances,1
(%) Benefits held by 5th 20% population - In-Kind,1
(%) Benefits held by 5th 20% population - Old Age Contributory,1
(%) Benefits held by 5th 20% population - other SSN,1
(%) Benefits held by 5th 20% population - Private Transfers,1
(%) Benefits held by 5th 20% population - Public Works,1
(%) Benefits held by 5th 20% population - School-feeding,1
(%) Benefits held by 5th 20% population - Social Pension,1
(%) Benefits held by 5th 20% population - Social Security,1
(%) Benefits held by 5th 20% population - Unemp benefits and ALMP,1
(%) Generosity of All Social Insurance,1
(%) Generosity of All Social Insurance - 1st 20%,1
(%) Generosity of All Social Insurance - 2nd 20%,1
(%) Generosity of All Social Insurance - 3rd 20%,1
(%) Generosity of All Social Insurance - 4th 20%,1
(%) Generosity of All Social Insurance - 5th 20%,1
(%) Generosity of All Social Protection,1
(%) Generosity of All Social Protection - 1st 20%,1
(%) Generosity of All Social Protection - 2nd 20%,1
(%) Generosity of All Social Protection - 3rd 20%,1
(%) Generosity of All Social Protection - 4th 20%,1
(%) Generosity of All Social Protection - 5th 20%,1
(%) Generosity of All Social Safety Nets,1
(%) Generosity of All Social Safety Nets - 1st 20%,1
(%) Generosity of All Social Safety Nets - 2nd 20%,1
(%) Generosity of All Social Safety Nets - 3rd 20%,1
(%) Generosity of All Social Safety Nets - 4th 20%,1
(%) Generosity of All Social Safety Nets - 5th 20%,1
(%) Generosity of Cash Transfer,1
(%) Generosity of Cash Transfer - 1st 20%,1
(%) Generosity of Cash Transfer - 2nd 20%,1
(%) Generosity of Cash Transfer - 3rd 20%,1
(%) Generosity of Cash Transfer - 4th 20%,1
(%) Generosity of Cash Transfer - 5th 20%,1
(%) Generosity of Conditional Cash Transfer,1
(%) Generosity of Conditional Cash Transfer - 1st 20%,1
(%) Generosity of Conditional Cash Transfer - 2nd 20%,1
(%) Generosity of Conditional Cash Transfer - 3rd 20%,1
(%) Generosity of Conditional Cash Transfer - 4th 20%,1
(%) Generosity of Conditional Cash Transfer - 5th 20%,1
(%) Generosity of Family/Child allowances,1
(%) Generosity of Family/Child allowances - 1st 20%,1
(%) Generosity of Family/Child allowances - 2nd 20%,1
(%) Generosity of Family/Child allowances - 3rd 20%,1
(%) Generosity of Family/Child allowances - 4th 20%,1
(%) Generosity of Family/Child allowances - 5th 20%,1
(%) Generosity of In-Kind,1
(%) Generosity of In-Kind - 1st 20%,1
(%) Generosity of In-Kind - 2nd 20%,1
(%) Generosity of In-Kind - 3rd 20%,1
(%) Generosity of In-Kind - 4th 20%,1
(%) Generosity of In-Kind - 5th 20%,1
(%) Generosity of Old Age Contributory,1
(%) Generosity of Old Age Contributory - 1st 20%,1
(%) Generosity of Old Age Contributory - 2nd 20%,1
(%) Generosity of Old Age Contributory - 3rd 20%,1
(%) Generosity of Old Age Contributory - 4th 20%,1
(%) Generosity of Old Age Contributory - 5th 20%,1
(%) Generosity of other SSN,1
(%) Generosity of other SSN - 1st 20%,1
(%) Generosity of other SSN - 2nd 20%,1
(%) Generosity of other SSN - 3rd 20%,1
(%) Generosity of other SSN - 4th 20%,1
(%) Generosity of other SSN - 5th 20%,1
(%) Generosity of Private Transfers,1
(%) Generosity of Private Transfers - 1st 20%,1
(%) Generosity of Private Transfers - 2nd 20%,1
(%) Generosity of Private Transfers - 3rd 20%,1
(%) Generosity of Private Transfers - 4th 20%,1
(%) Generosity of Private Transfers - 5th 20%,1
(%) Generosity of Public Works,1
(%) Generosity of Public Works - 1st 20%,1
(%) Generosity of Public Works - 2nd 20%,1
(%) Generosity of Public Works - 3rd 20%,1
(%) Generosity of Public Works - 4th 20%,1
(%) Generosity of Public Works - 5th 20%,1
(%) Generosity of School-feeding,1
(%) Generosity of School-feeding - 1st 20%,1
(%) Generosity of School-feeding - 2nd 20%,1
(%) Generosity of School-feeding - 3rd 20%,1
(%) Generosity of School-feeding - 4th 20%,1
(%) Generosity of School-feeding - 5th 20%,1
(%) Generosity of Social Pension,1
(%) Generosity of Social Pension - 1st 20%,1
(%) Generosity of Social Pension - 2nd 20%,1
(%) Generosity of Social Pension - 3rd 20%,1
(%) Generosity of Social Pension - 4th 20%,1
(%) Generosity of Social Pension - 5th 20%,1
(%) Generosity of Social Security,1
(%) Generosity of Social Security - 1st 20%,1
(%) Generosity of Social Security - 2nd 20%,1
(%) Generosity of Social Security - 3rd 20%,1
(%) Generosity of Social Security - 4th 20%,1
(%) Generosity of Social Security - 5th 20%,1
(%) Generosity of Unemp benefits and ALMP,1
(%) Generosity of Unemp benefits and ALMP - 1st 20%,1
(%) Generosity of Unemp benefits and ALMP - 2nd 20%,1
(%) Generosity of Unemp benefits and ALMP - 3rd 20%,1
(%) Generosity of Unemp benefits and ALMP - 4th 20%,1
(%) Generosity of Unemp benefits and ALMP - 5th 20%,1
(%) Program beneficiaries in 1st 20% population - All Social Insurance,1
(%) Program beneficiaries in 1st 20% population - All Social Protection,1
(%) Program beneficiaries in 1st 20% population - All Social Safety Nets,1
(%) Program beneficiaries in 1st 20% population - Cash Transfer,1
(%) Program beneficiaries in 1st 20% population - Conditional Cash Transfer,1
(%) Program beneficiaries in 1st 20% population - Family/Child allowances,1
(%) Program beneficiaries in 1st 20% population - In-Kind,1
(%) Program beneficiaries in 1st 20% population - Old Age Contributory,1
(%) Program beneficiaries in 1st 20% population - other SSN,1
(%) Program beneficiaries in 1st 20% population - Private Transfers,1
(%) Program beneficiaries in 1st 20% population - Public Works,1
(%) Program beneficiaries in 1st 20% population - School-feeding,1
(%) Program beneficiaries in 1st 20% population - Social Pension,1
(%) Program beneficiaries in 1st 20% population - Social Security,1
(%) Program beneficiaries in 1st 20% population - Unemp benefits and ALMP,1
(%) Program beneficiaries in 2nd 20% population - All Social Insurance,1
(%) Program beneficiaries in 2nd 20% population - All Social Protection,1
(%) Program beneficiaries in 2nd 20% population - All Social Safety Nets,1
(%) Program beneficiaries in 2nd 20% population - Cash Transfer,1
(%) Program beneficiaries in 2nd 20% population - Conditional Cash Transfer,1
(%) Program beneficiaries in 2nd 20% population - Family/Child allowances,1
(%) Program beneficiaries in 2nd 20% population - In-Kind,1
(%) Program beneficiaries in 2nd 20% population - Old Age Contributory,1
(%) Program beneficiaries in 2nd 20% population - other SSN,1
(%) Program beneficiaries in 2nd 20% population - Private Transfers,1
(%) Program beneficiaries in 2nd 20% population - Public Works,1
(%) Program beneficiaries in 2nd 20% population - School-feeding,1
(%) Program beneficiaries in 2nd 20% population - Social Pension,1
(%) Program beneficiaries in 2nd 20% population - Social Security,1
(%) Program beneficiaries in 2nd 20% population - Unemp benefits and ALMP,1
(%) Program beneficiaries in 3rd 20% population - All Social Insurance,1
(%) Program beneficiaries in 3rd 20% population - All Social Protection,1
(%) Program beneficiaries in 3rd 20% population - All Social Safety Nets,1
(%) Program beneficiaries in 3rd 20% population - Cash Transfer,1
(%) Program beneficiaries in 3rd 20% population - Conditional Cash Transfer,1
(%) Program beneficiaries in 3rd 20% population - Family/Child allowances,1
(%) Program beneficiaries in 3rd 20% population - In-Kind,1
(%) Program beneficiaries in 3rd 20% population - Old Age Contributory,1
(%) Program beneficiaries in 3rd 20% population - other SSN,1
(%) Program beneficiaries in 3rd 20% population - Private Transfers,1
(%) Program beneficiaries in 3rd 20% population - Public Works,1
(%) Program beneficiaries in 3rd 20% population - School-feeding,1
(%) Program beneficiaries in 3rd 20% population - Social Pension,1
(%) Program beneficiaries in 3rd 20% population - Social Security,1
(%) Program beneficiaries in 3rd 20% population - Unemp benefits and ALMP,1
(%) Program beneficiaries in 4th 20% population - All Social Insurance,1
(%) Program beneficiaries in 4th 20% population - All Social Protection,1
(%) Program beneficiaries in 4th 20% population - All Social Safety Nets,1
(%) Program beneficiaries in 4th 20% population - Cash Transfer,1
(%) Program beneficiaries in 4th 20% population - Conditional Cash Transfer,1
(%) Program beneficiaries in 4th 20% population - Family/Child allowances,1
(%) Program beneficiaries in 4th 20% population - In-Kind,1
(%) Program beneficiaries in 4th 20% population - Old Age Contributory,1
(%) Program beneficiaries in 4th 20% population - other SSN,1
(%) Program beneficiaries in 4th 20% population - Private Transfers,1
(%) Program beneficiaries in 4th 20% population - Public Works,1
(%) Program beneficiaries in 4th 20% population - School-feeding,1
(%) Program beneficiaries in 4th 20% population - Social Pension,1
(%) Program beneficiaries in 4th 20% population - Social Security,1
(%) Program beneficiaries in 4th 20% population - Unemp benefits and ALMP,1
(%) Program beneficiaries in 5th 20% population - All Social Insurance,1
(%) Program beneficiaries in 5th 20% population - All Social Protection,1
(%) Program beneficiaries in 5th 20% population - All Social Safety Nets,1
(%) Program beneficiaries in 5th 20% population - Cash Transfer,1
(%) Program beneficiaries in 5th 20% population - Conditional Cash Transfer,1
(%) Program beneficiaries in 5th 20% population - Family/Child allowances,1
(%) Program beneficiaries in 5th 20% population - In-Kind,1
(%) Program beneficiaries in 5th 20% population - Old Age Contributory,1
(%) Program beneficiaries in 5th 20% population - other SSN,1
(%) Program beneficiaries in 5th 20% population - Private Transfers,1
(%) Program beneficiaries in 5th 20% population - Public Works,1
(%) Program beneficiaries in 5th 20% population - School-feeding,1
(%) Program beneficiaries in 5th 20% population - Social Pension,1
(%) Program beneficiaries in 5th 20% population - Social Security,1
(%) Program beneficiaries in 5th 20% population - Unemp benefits and ALMP,1
(%) Program participation - All Social Insurance,1
(%) Program participation - All Social Protection,1
(%) Program participation - All Social Safety Nets,1
(%) Program participation - Cash Transfer,1
(%) Program participation - Conditional Cash Transfer,1
(%) Program participation - Family/Child allowances,1
(%) Program participation - In-Kind,1
(%) Program participation - Old Age Contributory,1
(%) Program participation - other SSN,1
(%) Program participation - Private Transfers,1
(%) Program participation - Public Works,1
(%) Program participation - School-feeding,1
(%) Program participation - Social Pension,1
(%) Program participation - Social Security,1
(%) Program participation - Unemp benefits and ALMP,1
(%) Program participation by 1st 20% - All Social Insurance,1
(%) Program participation by 1st 20% - All Social Protection,1
(%) Program participation by 1st 20% - All Social Safety Nets,1
(%) Program participation by 1st 20% - Cash Transfer,1
(%) Program participation by 1st 20% - Conditional Cash Transfer,1
(%) Program participation by 1st 20% - Family/Child allowances,1
(%) Program participation by 1st 20% - In-Kind,1
(%) Program participation by 1st 20% - Old Age Contributory,1
(%) Program participation by 1st 20% - other SSN,1
(%) Program participation by 1st 20% - Private Transfers,1
(%) Program participation by 1st 20% - Public Works,1
(%) Program participation by 1st 20% - School-feeding,1
(%) Program participation by 1st 20% - Social Pension,1
(%) Program participation by 1st 20% - Social Security,1
(%) Program participation by 1st 20% - Unemp benefits and ALMP,1
(%) Program participation by 2nd 20% - All Social Insurance,1
(%) Program participation by 2nd 20% - All Social Protection,1
(%) Program participation by 2nd 20% - All Social Safety Nets,1
(%) Program participation by 2nd 20% - Cash Transfer,1
(%) Program participation by 2nd 20% - Conditional Cash Transfer,1
(%) Program participation by 2nd 20% - Family/Child allowances,1
(%) Program participation by 2nd 20% - In-Kind,1
(%) Program participation by 2nd 20% - Old Age Contributory,1
(%) Program participation by 2nd 20% - other SSN,1
(%) Program participation by 2nd 20% - Private Transfers,1
(%) Program participation by 2nd 20% - Public Works,1
(%) Program participation by 2nd 20% - School-feeding,1
(%) Program participation by 2nd 20% - Social Pension,1
(%) Program participation by 2nd 20% - Social Security,1
(%) Program participation by 2nd 20% - Unemp benefits and ALMP,1
(%) Program participation by 3rd 20% - All Social Insurance,1
(%) Program participation by 3rd 20% - All Social Protection,1
(%) Program participation by 3rd 20% - All Social Safety Nets,1
(%) Program participation by 3rd 20% - Cash Transfer,1
(%) Program participation by 3rd 20% - Conditional Cash Transfer,1
(%) Program participation by 3rd 20% - Family/Child allowances,1
(%) Program participation by 3rd 20% - In-Kind,1
(%) Program participation by 3rd 20% - Old Age Contributory,1
(%) Program participation by 3rd 20% - other SSN,1
(%) Program participation by 3rd 20% - Private Transfers,1
(%) Program participation by 3rd 20% - Public Works,1
(%) Program participation by 3rd 20% - School-feeding,1
(%) Program participation by 3rd 20% - Social Pension,1
(%) Program participation by 3rd 20% - Social Security,1
(%) Program participation by 3rd 20% - Unemp benefits and ALMP,1
(%) Program participation by 4th 20% - All Social Insurance,1
(%) Program participation by 4th 20% - All Social Protection,1
(%) Program participation by 4th 20% - All Social Safety Nets,1
(%) Program participation by 4th 20% - Cash Transfer,1
(%) Program participation by 4th 20% - Conditional Cash Transfer,1
(%) Program participation by 4th 20% - Family/Child allowances,1
(%) Program participation by 4th 20% - In-Kind,1
(%) Program participation by 4th 20% - Old Age Contributory,1
(%) Program participation by 4th 20% - other SSN,1
(%) Program participation by 4th 20% - Private Transfers,1
(%) Program participation by 4th 20% - Public Works,1
(%) Program participation by 4th 20% - School-feeding,1
(%) Program participation by 4th 20% - Social Pension,1
(%) Program participation by 4th 20% - Social Security,1
(%) Program participation by 4th 20% - Unemp benefits and ALMP,1
(%) Program participation by 5th 20% - All Social Insurance,1
(%) Program participation by 5th 20% - All Social Protection,1
(%) Program participation by 5th 20% - All Social Safety Nets,1
(%) Program participation by 5th 20% - Cash Transfer,1
(%) Program participation by 5th 20% - Conditional Cash Transfer,1
(%) Program participation by 5th 20% - Family/Child allowances,1
(%) Program participation by 5th 20% - In-Kind,1
(%) Program participation by 5th 20% - Old Age Contributory,1
(%) Program participation by 5th 20% - other SSN,1
(%) Program participation by 5th 20% - Private Transfers,1
(%) Program participation by 5th 20% - Public Works,1
(%) Program participation by 5th 20% - School-feeding,1
(%) Program participation by 5th 20% - Social Pension,1
(%) Program participation by 5th 20% - Social Security,1
(%) Program participation by 5th 20% - Unemp benefits and ALMP,1
"0 deposits into & withdrawals from account in a typical month (% with an account, age 15+)",1
"0 deposits into & withdrawals from account in a typical month, female (% with an account, age 15+)",1
"0 deposits into & withdrawals from account in a typical month, income quintiles I (lowest) and II (% with an account, age 15+)",1
"0 deposits into & withdrawals from account in a typical month, income quintiles III, IV, and V (highest) (% with an account, age 15+)",1
"0 deposits into & withdrawals from account in a typical month, male (% with an account, age 15+)",1
"0 deposits into & withdrawals from account in a typical month, older adults (% with an account, age 25+)",1
"0 deposits into & withdrawals from account in a typical month, primary education or less (% with an account, age 15+)",1
"0 deposits into & withdrawals from account in a typical month, rural (% with an account, age 15+)",1
"0 deposits into & withdrawals from account in a typical month, secondary education or more (% with an account, age 15+)",1
"0 deposits into & withdrawals from account in a typical month, urban (% with an account, age 15+)",1
"0 deposits into & withdrawals from account in a typical month, young adults (% with an account, age 15-24)",1
"0 deposits into account in a typical month (% with an account, age 15+)",1
"0 deposits into account in a typical month, female (% with an account, age 15+)",1
"0 deposits into account in a typical month, income quintiles I (lowest) and II (% with an account, age 15+)",1
"0 deposits into account in a typical month, income quintiles III, IV, and V (highest) (% with an account, age 15+)",1
"0 deposits into account in a typical month, male (% with an account, age 15+)",1
"0 deposits into account in a typical month, older adults (% with an account, age 25+)",1
"0 deposits into account in a typical month, primary education or less (% with an account, age 15+)",1
"0 deposits into account in a typical month, rural (% with an account, age 15+)",1
"0 deposits into account in a typical month, secondary education or more (% with an account, age 15+)",1
"0 deposits into account in a typical month, urban (% with an account, age 15+)",1
"0 deposits into account in a typical month, young adults (% with an account, age 15-24)",1
"0 withdrawals from account in a typical month (% with an account, age 15+)",1
"0 withdrawals from account in a typical month, female (% with an account, age 15+)",1
"0 withdrawals from account in a typical month, income quintiles I (lowest) and II (% with an account, age 15+)",1
"0 withdrawals from account in a typical month, income quintiles III, IV, and V (highest) (% with an account, age 15+)",1
"0 withdrawals from account in a typical month, male (% with an account, age 15+)",1
"0 withdrawals from account in a typical month, older adults (% with an account, age 25+)",1
"0 withdrawals from account in a typical month, primary education or less (% with an account, age 15+)",1
"0 withdrawals from account in a typical month, rural (% with an account, age 15+)",1
"0 withdrawals from account in a typical month, secondary education or more (% with an account, age 15+)",1
"0 withdrawals from account in a typical month, urban (% with an account, age 15+)",1
"0 withdrawals from account in a typical month, young adults (% with an account, age 15-24)",1
001.General Govt. Public Sector Debt (PSDGG) US$,1
"001_T1_Gross External Debt, General.Government (GG)",1
"002.Short-term by original maturity (PSDGG, ST) US$",1
"002_T1_Gross External Debt, Short-term (ST, GG)",1
002_T1_Public Sector (ST),1
"003.Currency and deposits (PSDGG, ST) US$",1
"003_T1_Gross External Debt, Money.market.instruments (ST, GG)",1
003_T1_Public Sector (LT),1
"004.Debt securities (PSDGG, ST) US$",1
"004_T1_Gross External Debt, Loans (ST, GG)",1
"005.Loans (PSDGG, ST) US$",1
"005_T1_Gross External Debt, Trade.credits (ST, GG)",1
005_T1_Publicly-Guaranteed Private Sector (ST),1
"006.Insurance, pensions, and standardized guarantee schemes (PSDGG, ST) US$",1
"006_T1_Gross External Debt, Other.debt.liabilities (ST, GG)",1
006_T1_Publicly-Guaranteed Private Sector (LT),1
"007.Other accounts payable (PSDGG, ST) US$",1
"007_T1_Gross External Debt, Other.debt.liabilities:Arears (ST, GG)",1
"008.Long-term, by original maturity (PSDGG, LT) US$",1
"008_T1_Gross External Debt, Other.debt.liabilities: Other (ST, GG)",1
"009.With payment due in one year or less (PSDGG, LT, <1yr) US$",1
"009_T1_Gross External Debt, Long-term (LT, GG)",1
009_T1_Nonguaranteed Private Sector (ST),1
01.Number of Exporters,1
"010.Currency and deposits (PSDGG, LT, <1yr) US$",1
"010_T1_Gross External Debt, Bonds.and.notes (LT, GG)",1
010_T1_Nonguaranteed Private Sector (LT),1
"011.Debt securities (PSDGG, LT, <1yr) US$",1
"011_T1_Gross External Debt, Loans (LT, GG)",1
"011_T2_Public Sector External Debt, Immediate qtr 4/",1
"012.Loans (PSDGG, LT, <1yr) US$",1
"012_T1_Gross External Debt, Trade.credits (LT, GG)",1
"012_T2_Public Sector, Principal, Immediate qtr",1
"013.Insurance, pensions, and standardized guarantee schemes (PSDGG, LT, <1yr) US$",1
"013_T1_Gross External Debt, Other.debt.liabilities (LT, GG)",1
"013_T2_Public Sector, Interest, Immediate qtr",1
"014.Other accounts payable (PSDGG, LT, <1yr) US$",1
"014_T1_Gross External Debt, Monetary.Authorities (MA)",1
"014_T2_Publicly-Guaranteed Private Sector External Debt, Immediate qtr 5/",1
"015.With payment due in more than one year (PSDGG, LT, >1yr) US$",1
"015_T1_Gross External Debt, Short-term (ST, MA)",1
"015_T2_Publicly-Guaranteed Private Sector, Principal, Immediate qtr",1
"016.Special Drawing Rights (SDRs) (PSDGG, LT, >1yr) US$",1
"016_T1_Gross External Debt, Money.market.instruments (ST, MA)",1
"016_T2_Publicly-Guaranteed Private Sector, Interest, Immediate qtr",1
"017.Currency and deposits (PSDGG, LT, >1yr) US$",1
"017_T1_Gross External Debt, Loans (ST, MA)",1
"017_T2_Total Debt Service, Immediate qtr",1
"018.Debt securities (PSDGG, LT, >1yr) US$",1
"018_T1_Gross External Debt, Currency.and.deposits (ST, MA)",1
"018_T2_Total, Principal Immediate qtr",1
"019.Loans (PSDGG, LT, >1yr) US$",1
"019_T1_Gross External Debt, Other.debt.liabilities (ST, MA)",1
"019_T2_Total, Interest Immediate qtr",1
02.Number of Entrants,1
"020.Insurance, pensions, and standardized guarantee schemes (PSDGG, LT, >1yr) US$",1
"020_T1_Gross External Debt, Other.debt.liabilities:Arears (ST, MA)",1
"020_T2_Public Sector External Debt, 0 to 3 Months 4/",1
"021.Other accounts payable (PSDGG, LT, >1yr) US$",1
"021_T1_Gross External Debt, Other.debt.liabilities: Other (ST, MA)",1
"021_T2_Public Sector, Principal, 0 to 3 Months",1
022.Special Drawing Rights (SDRs) (PSDGG) US$,1
"022_T1_Gross External Debt, Long-term (LT, MA)",1
"022_T2_Public Sector, Interest, 0 to 3 Months",1
023.Currency and deposits (PSDGG) US$,1
"023_T1_Gross External Debt, Bonds.and.notes (LT, MA)",1
"023_T2_Publicly-Guarranteed Private Sector External Debt, 0 to 3 Months 5/",1
024.Debt securities (PSDGG) US$,1
"024_T1_Gross External Debt, Loans (LT, MA)",1
"024_T2_Publicly-Guarranteed Private Sector, Principal, 0 to 3 Months",1
025.Loans (PSDGG) US$,1
"025_T1_Gross External Debt, Currency.and.deposits (LT, MA)",1
"025_T2_Publicly-Guarranteed Private Sector, Interest, 0 to 3 Months",1
"026.Insurance, pensions, and standardized guarantee schemes (PSDGG) US$",1
"026_T1_Gross External Debt, Other.debt.liabilities (LT, MA)",1
"026_T2_Total Debt Service, 0 to 3 Months",1
027.Other accounts payable (PSDGG) US$,1
"027_T1_Gross External Debt, Banks",1
"027_T2_Total, Principal, 0 to 3 Months",1
"028.General Govt. Public Sector Debt, Domestic creditors US$",1
"028_T1_Gross External Debt, Short-term (ST, Banks)",1
"028_T2_Total, Interest, 0 to 3 Months",1
"029.General Govt. Public Sector Debt, External creditors US$",1
"029_T1_Gross External Debt, Money.market.instruments (ST, Banks)",1
"029_T2_Public Sector External Debt, 4 to 6 Months 4/",1
03.Number of Exiters,1
"030.General Govt. Public Sector Debt, Domestic currency US$",1
"030_T1_Gross External Debt, Loans (ST, Banks)",1
"030_T2_Public Sector, Principal, 4 to 6 Months",1
"031.General Govt. Public Sector Debt, Foreign currency US$",1
"031_T1_Gross External Debt, Currency.and.deposits (ST, Banks)",1
"031_T2_Public Sector, Interest, 4 to 6 Months",1
032.General Govt. Public Sector Debt Securities at market value US$,1
"032_T1_Gross External Debt, Other.debt.liabilities (ST, Banks)",1
"032_T2_Publicly-Guarranteed Private Sector External Debt, 4 to 6 Months 5/",1
033.Gross Central Government Debt (PSDCG) US$,1
"033_T1_Gross External Debt, Other.debt.liabilities:Arears (ST, Banks)",1
"033_T2_Publicly-Guarranteed Private Sector, Principal, 4 to 6 Months",1
"034.Short-term by original maturity (PSDCG, ST) US$",1
"034_T1_Gross External Debt, Other.debt.liabilities: Other (ST, Banks)",1
"034_T2_Publicly-Guarranteed Private Sector, Interest, 4 to 6 Months",1
"035.Currency and deposits (PSDCG, ST) US$",1
"035_T1_Gross External Debt, Long-term (LT, Banks)",1
"035_T2_Total Debt Service, 4 to 6 Months",1
"036.Debt securities (PSDCG, ST) US$",1
"036_T1_Gross External Debt, Bonds.and.notes (LT, Banks)",1
