indicator,topic,source
% of population receiving All Social Insurance and Labor Market,Labor & Social Protection,Global Social Protection
% of population receiving All Social Insurance and Labor Market,Labor & Social Protection ,Global Social Protection
% of population receiving only 1 program,Labor & Social Protection,Global Social Protection
% of population receiving only 1 program,Labor & Social Protection ,Global Social Protection
% of population receiving SSN and other,Labor & Social Protection,Global Social Protection
% of population receiving SSN and other,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 1st 20% population - All Social Insurance,Labor & Social Protection,Global Social Protection
(%) Benefits held by 1st 20% population - All Social Insurance,Labor & Social Protection,World Development Indicators
(%) Benefits held by 1st 20% population - All Social Insurance,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 1st 20% population - All Social Insurance,Labor & Social Protection ,World Development Indicators
(%) Benefits held by 1st 20% population - All Social Protection,Labor & Social Protection,Global Social Protection
(%) Benefits held by 1st 20% population - All Social Protection,Labor & Social Protection,World Development Indicators
(%) Benefits held by 1st 20% population - All Social Protection,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 1st 20% population - All Social Protection,Labor & Social Protection ,World Development Indicators
(%) Benefits held by 1st 20% population - All Social Safety Nets,Labor & Social Protection,Global Social Protection
(%) Benefits held by 1st 20% population - All Social Safety Nets,Labor & Social Protection,World Development Indicators
(%) Benefits held by 1st 20% population - All Social Safety Nets,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 1st 20% population - All Social Safety Nets,Labor & Social Protection ,World Development Indicators
(%) Benefits held by 1st 20% population - Cash Transfer,Labor & Social Protection,Global Social Protection
(%) Benefits held by 1st 20% population - Cash Transfer,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 1st 20% population - Conditional Cash Transfer,Labor & Social Protection,Global Social Protection
(%) Benefits held by 1st 20% population - Conditional Cash Transfer,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 1st 20% population - Family/Child allowances,Labor & Social Protection,Global Social Protection
(%) Benefits held by 1st 20% population - Family/Child allowances,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 1st 20% population - In-Kind,Labor & Social Protection,Global Social Protection
(%) Benefits held by 1st 20% population - In-Kind,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 1st 20% population - Old Age Contributory,Labor & Social Protection,Global Social Protection
(%) Benefits held by 1st 20% population - Old Age Contributory,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 1st 20% population - other SSN,Labor & Social Protection,Global Social Protection
(%) Benefits held by 1st 20% population - other SSN,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 1st 20% population - Private Transfers,Labor & Social Protection,Global Social Protection
(%) Benefits held by 1st 20% population - Private Transfers,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 1st 20% population - Public Works,Labor & Social Protection,Global Social Protection
(%) Benefits held by 1st 20% population - Public Works,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 1st 20% population - School-feeding,Labor & Social Protection,Global Social Protection
(%) Benefits held by 1st 20% population - School-feeding,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 1st 20% population - Social Pension,Labor & Social Protection,Global Social Protection
(%) Benefits held by 1st 20% population - Social Pension,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 1st 20% population - Social Security,Labor & Social Protection,Global Social Protection
(%) Benefits held by 1st 20% population - Social Security,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 1st 20% population - Unemp benefits and ALMP,Labor & Social Protection,Global Social Protection
(%) Benefits held by 1st 20% population - Unemp benefits and ALMP,Labor & Social Protection,World Development Indicators
(%) Benefits held by 1st 20% population - Unemp benefits and ALMP,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 1st 20% population - Unemp benefits and ALMP,Labor & Social Protection ,World Development Indicators
(%) Benefits held by 2nd 20% population - All Social Insurance,Labor & Social Protection,Global Social Protection
(%) Benefits held by 2nd 20% population - All Social Insurance,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 2nd 20% population - All Social Protection,Labor & Social Protection,Global Social Protection
(%) Benefits held by 2nd 20% population - All Social Protection,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 2nd 20% population - All Social Safety Nets,Labor & Social Protection,Global Social Protection
(%) Benefits held by 2nd 20% population - All Social Safety Nets,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 2nd 20% population - Cash Transfer,Labor & Social Protection,Global Social Protection
(%) Benefits held by 2nd 20% population - Cash Transfer,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 2nd 20% population - Conditional Cash Transfer,Labor & Social Protection,Global Social Protection
(%) Benefits held by 2nd 20% population - Conditional Cash Transfer,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 2nd 20% population - Family/Child allowances,Labor & Social Protection,Global Social Protection
(%) Benefits held by 2nd 20% population - Family/Child allowances,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 2nd 20% population - In-Kind,Labor & Social Protection,Global Social Protection
(%) Benefits held by 2nd 20% population - In-Kind,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 2nd 20% population - Old Age Contributory,Labor & Social Protection,Global Social Protection
(%) Benefits held by 2nd 20% population - Old Age Contributory,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 2nd 20% population - other SSN,Labor & Social Protection,Global Social Protection
(%) Benefits held by 2nd 20% population - other SSN,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 2nd 20% population - Private Transfers,Labor & Social Protection,Global Social Protection
(%) Benefits held by 2nd 20% population - Private Transfers,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 2nd 20% population - Public Works,Labor & Social Protection,Global Social Protection
(%) Benefits held by 2nd 20% population - Public Works,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 2nd 20% population - School-feeding,Labor & Social Protection,Global Social Protection
(%) Benefits held by 2nd 20% population - School-feeding,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 2nd 20% population - Social Pension,Labor & Social Protection,Global Social Protection
(%) Benefits held by 2nd 20% population - Social Pension,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 2nd 20% population - Social Security,Labor & Social Protection,Global Social Protection
(%) Benefits held by 2nd 20% population - Social Security,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 2nd 20% population - Unemp benefits and ALMP,Labor & Social Protection,Global Social Protection
(%) Benefits held by 2nd 20% population - Unemp benefits and ALMP,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 3rd 20% population - All Social Insurance,Labor & Social Protection,Global Social Protection
(%) Benefits held by 3rd 20% population - All Social Insurance,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 3rd 20% population - All Social Protection,Labor & Social Protection,Global Social Protection
(%) Benefits held by 3rd 20% population - All Social Protection,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 3rd 20% population - All Social Safety Nets,Labor & Social Protection,Global Social Protection
(%) Benefits held by 3rd 20% population - All Social Safety Nets,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 3rd 20% population - Cash Transfer,Labor & Social Protection,Global Social Protection
(%) Benefits held by 3rd 20% population - Cash Transfer,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 3rd 20% population - Conditional Cash Transfer,Labor & Social Protection,Global Social Protection
(%) Benefits held by 3rd 20% population - Conditional Cash Transfer,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 3rd 20% population - Family/Child allowances,Labor & Social Protection,Global Social Protection
(%) Benefits held by 3rd 20% population - Family/Child allowances,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 3rd 20% population - In-Kind,Labor & Social Protection,Global Social Protection
(%) Benefits held by 3rd 20% population - In-Kind,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 3rd 20% population - Old Age Contributory,Labor & Social Protection,Global Social Protection
(%) Benefits held by 3rd 20% population - Old Age Contributory,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 3rd 20% population - other SSN,Labor & Social Protection,Global Social Protection
(%) Benefits held by 3rd 20% population - other SSN,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 3rd 20% population - Private Transfers,Labor & Social Protection,Global Social Protection
(%) Benefits held by 3rd 20% population - Private Transfers,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 3rd 20% population - Public Works,Labor & Social Protection,Global Social Protection
(%) Benefits held by 3rd 20% population - Public Works,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 3rd 20% population - School-feeding,Labor & Social Protection,Global Social Protection
(%) Benefits held by 3rd 20% population - School-feeding,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 3rd 20% population - Social Pension,Labor & Social Protection,Global Social Protection
(%) Benefits held by 3rd 20% population - Social Pension,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 3rd 20% population - Social Security,Labor & Social Protection,Global Social Protection
(%) Benefits held by 3rd 20% population - Social Security,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 3rd 20% population - Unemp benefits and ALMP,Labor & Social Protection,Global Social Protection
(%) Benefits held by 3rd 20% population - Unemp benefits and ALMP,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 4th 20% population - All Social Insurance,Labor & Social Protection,Global Social Protection
(%) Benefits held by 4th 20% population - All Social Insurance,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 4th 20% population - All Social Protection,Labor & Social Protection,Global Social Protection
(%) Benefits held by 4th 20% population - All Social Protection,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 4th 20% population - All Social Safety Nets,Labor & Social Protection,Global Social Protection
(%) Benefits held by 4th 20% population - All Social Safety Nets,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 4th 20% population - Cash Transfer,Labor & Social Protection,Global Social Protection
(%) Benefits held by 4th 20% population - Cash Transfer,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 4th 20% population - Conditional Cash Transfer,Labor & Social Protection,Global Social Protection
(%) Benefits held by 4th 20% population - Conditional Cash Transfer,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 4th 20% population - Family/Child allowances,Labor & Social Protection,Global Social Protection
(%) Benefits held by 4th 20% population - Family/Child allowances,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 4th 20% population - In-Kind,Labor & Social Protection,Global Social Protection
(%) Benefits held by 4th 20% population - In-Kind,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 4th 20% population - Old Age Contributory,Labor & Social Protection,Global Social Protection
(%) Benefits held by 4th 20% population - Old Age Contributory,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 4th 20% population - other SSN,Labor & Social Protection,Global Social Protection
(%) Benefits held by 4th 20% population - other SSN,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 4th 20% population - Private Transfers,Labor & Social Protection,Global Social Protection
(%) Benefits held by 4th 20% population - Private Transfers,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 4th 20% population - Public Works,Labor & Social Protection,Global Social Protection
(%) Benefits held by 4th 20% population - Public Works,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 4th 20% population - School-feeding,Labor & Social Protection,Global Social Protection
(%) Benefits held by 4th 20% population - School-feeding,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 4th 20% population - Social Pension,Labor & Social Protection,Global Social Protection
(%) Benefits held by 4th 20% population - Social Pension,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 4th 20% population - Social Security,Labor & Social Protection,Global Social Protection
(%) Benefits held by 4th 20% population - Social Security,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 4th 20% population - Unemp benefits and ALMP,Labor & Social Protection,Global Social Protection
(%) Benefits held by 4th 20% population - Unemp benefits and ALMP,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 5th 20% population - All Social Insurance,Labor & Social Protection,Global Social Protection
(%) Benefits held by 5th 20% population - All Social Insurance,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 5th 20% population - All Social Protection,Labor & Social Protection,Global Social Protection
(%) Benefits held by 5th 20% population - All Social Protection,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 5th 20% population - All Social Safety Nets,Labor & Social Protection,Global Social Protection
(%) Benefits held by 5th 20% population - All Social Safety Nets,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 5th 20% population - Cash Transfer,Labor & Social Protection,Global Social Protection
(%) Benefits held by 5th 20% population - Cash Transfer,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 5th 20% population - Conditional Cash Transfer,Labor & Social Protection,Global Social Protection
(%) Benefits held by 5th 20% population - Conditional Cash Transfer,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 5th 20% population - Family/Child allowances,Labor & Social Protection,Global Social Protection
(%) Benefits held by 5th 20% population - Family/Child allowances,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 5th 20% population - In-Kind,Labor & Social Protection,Global Social Protection
(%) Benefits held by 5th 20% population - In-Kind,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 5th 20% population - Old Age Contributory,Labor & Social Protection,Global Social Protection
(%) Benefits held by 5th 20% population - Old Age Contributory,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 5th 20% population - other SSN,Labor & Social Protection,Global Social Protection
(%) Benefits held by 5th 20% population - other SSN,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 5th 20% population - Private Transfers,Labor & Social Protection,Global Social Protection
(%) Benefits held by 5th 20% population - Private Transfers,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 5th 20% population - Public Works,Labor & Social Protection,Global Social Protection
(%) Benefits held by 5th 20% population - Public Works,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 5th 20% population - School-feeding,Labor & Social Protection,Global Social Protection
(%) Benefits held by 5th 20% population - School-feeding,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 5th 20% population - Social Pension,Labor & Social Protection,Global Social Protection
(%) Benefits held by 5th 20% population - Social Pension,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 5th 20% population - Social Security,Labor & Social Protection,Global Social Protection
(%) Benefits held by 5th 20% population - Social Security,Labor & Social Protection ,Global Social Protection
(%) Benefits held by 5th 20% population - Unemp benefits and ALMP,Labor & Social Protection,Global Social Protection
(%) Benefits held by 5th 20% population - Unemp benefits and ALMP,Labor & Social Protection ,Global Social Protection
(%) Generosity of All Social Insurance,Labor & Social Protection,Global Social Protection
(%) Generosity of All Social Insurance,Labor & Social Protection,World Development Indicators
(%) Generosity of All Social Insurance,Labor & Social Protection ,Global Social Protection
(%) Generosity of All Social Insurance,Labor & Social Protection ,World Development Indicators
(%) Generosity of All Social Insurance - 1st 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of All Social Insurance - 1st 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of All Social Insurance - 2nd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of All Social Insurance - 2nd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of All Social Insurance - 3rd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of All Social Insurance - 3rd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of All Social Insurance - 4th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of All Social Insurance - 4th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of All Social Insurance - 5th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of All Social Insurance - 5th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of All Social Protection,Labor & Social Protection,Global Social Protection
(%) Generosity of All Social Protection,Labor & Social Protection,World Development Indicators
(%) Generosity of All Social Protection,Labor & Social Protection ,Global Social Protection
(%) Generosity of All Social Protection,Labor & Social Protection ,World Development Indicators
(%) Generosity of All Social Protection - 1st 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of All Social Protection - 1st 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of All Social Protection - 2nd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of All Social Protection - 2nd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of All Social Protection - 3rd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of All Social Protection - 3rd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of All Social Protection - 4th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of All Social Protection - 4th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of All Social Protection - 5th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of All Social Protection - 5th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of All Social Safety Nets,Labor & Social Protection,Global Social Protection
(%) Generosity of All Social Safety Nets,Labor & Social Protection,World Development Indicators
(%) Generosity of All Social Safety Nets,Labor & Social Protection ,Global Social Protection
(%) Generosity of All Social Safety Nets,Labor & Social Protection ,World Development Indicators
(%) Generosity of All Social Safety Nets - 1st 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of All Social Safety Nets - 1st 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of All Social Safety Nets - 2nd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of All Social Safety Nets - 2nd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of All Social Safety Nets - 3rd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of All Social Safety Nets - 3rd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of All Social Safety Nets - 4th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of All Social Safety Nets - 4th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of All Social Safety Nets - 5th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of All Social Safety Nets - 5th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Cash Transfer,Labor & Social Protection,Global Social Protection
(%) Generosity of Cash Transfer,Labor & Social Protection ,Global Social Protection
(%) Generosity of Cash Transfer - 1st 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Cash Transfer - 1st 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Cash Transfer - 2nd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Cash Transfer - 2nd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Cash Transfer - 3rd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Cash Transfer - 3rd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Cash Transfer - 4th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Cash Transfer - 4th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Cash Transfer - 5th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Cash Transfer - 5th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Conditional Cash Transfer,Labor & Social Protection,Global Social Protection
(%) Generosity of Conditional Cash Transfer,Labor & Social Protection ,Global Social Protection
(%) Generosity of Conditional Cash Transfer - 1st 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Conditional Cash Transfer - 1st 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Conditional Cash Transfer - 2nd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Conditional Cash Transfer - 2nd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Conditional Cash Transfer - 3rd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Conditional Cash Transfer - 3rd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Conditional Cash Transfer - 4th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Conditional Cash Transfer - 4th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Conditional Cash Transfer - 5th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Conditional Cash Transfer - 5th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Family/Child allowances,Labor & Social Protection,Global Social Protection
(%) Generosity of Family/Child allowances,Labor & Social Protection ,Global Social Protection
(%) Generosity of Family/Child allowances - 1st 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Family/Child allowances - 1st 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Family/Child allowances - 2nd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Family/Child allowances - 2nd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Family/Child allowances - 3rd 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Family/Child allowances - 3rd 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Family/Child allowances - 4th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Family/Child allowances - 4th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of Family/Child allowances - 5th 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of Family/Child allowances - 5th 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of In-Kind,Labor & Social Protection,Global Social Protection
(%) Generosity of In-Kind,Labor & Social Protection ,Global Social Protection
(%) Generosity of In-Kind - 1st 20%,Labor & Social Protection,Global Social Protection
(%) Generosity of In-Kind - 1st 20%,Labor & Social Protection ,Global Social Protection
(%) Generosity of In-Kind - 2nd 20%,Labor & Social Protection,Global Social Protection
